Player,Tm,FantPos,Age,G,GS,Cmp,Att_pass,Yds_pass,TD_pass,Int_pass,Att_rush,Yds_rush,Y/A,TD_rush,Tgt,Rec,Yds_rec,Y/R,TD_rec,Fmb,FL,TD_total,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year,Team_Yds,Team_Tgt,Team_Att_rush,Team_Yds_rush
Jahan Dotson,WAS,WR,23,17,16,0,0,0,0,0,0,0,0.0,0,83,49,518,10.57,4,0,0,4,0,0,76,124.8,127.8,100.3,0,57,0,2023,5766,601,358,1592
Khalil Shakir,BUF,WR,23,17,10,0,0,0,0,0,1,10,10.0,0,45,39,611,15.67,2,1,0,2,0,0,74,113.1,116.1,93.6,0,58,0,2023,6518,545,512,2212
Tutu Atwell,LAR,WR,24,16,14,0,0,0,0,0,5,31,6.2,0,67,39,483,12.38,3,0,0,3,1,1,73,112.4,115.4,92.9,0,59,0,2023,6312,540,454,2012
Odell Beckham Jr.,BAL,WR,31,14,6,0,0,0,0,0,0,0,0.0,0,64,35,565,16.14,3,1,1,3,0,0,73,107.5,111.5,90.0,0,63,0,2023,6542,473,540,2661
Elijah Moore,CLE,WR,23,17,12,0,0,0,0,0,9,11,1.22,0,104,59,640,10.85,2,2,2,2,0,0,73,132.1,137.1,102.6,0,62,0,2023,6028,579,518,2017
Wan'Dale Robinson,NYG,WR,22,15,8,0,0,0,0,0,9,87,9.67,1,78,60,525,8.75,1,0,0,2,0,0,73,133.2,136.2,103.2,0,61,0,2023,5223,484,453,1872
Christian Watson,GB,WR,24,9,9,0,0,0,0,0,4,11,2.75,0,53,28,422,15.07,5,0,0,5,0,0,73,101.3,104.3,87.3,0,60,0,2023,6104,561,439,1894
K.J. Osborn,MIN,WR,26,16,12,0,0,0,0,0,0,0,0.0,0,75,48,540,11.25,3,1,0,3,0,0,72,120.0,123.0,96.0,0,64,0,2023,5057,594,325,1252
Noah Brown,HOU,WR,27,10,7,0,0,0,0,0,1,-1,-1.0,0,55,33,567,17.18,2,0,0,2,0,0,69,101.6,104.6,85.1,0,66,0,2023,6225,554,438,1647
Josh Palmer,LAC,WR,24,10,6,0,0,0,0,0,1,6,6.0,0,61,38,581,15.29,2,1,1,2,0,0,69,106.7,110.7,87.7,0,65,0,2023,5954,614,430,1642
Rondale Moore,ARI,WR,23,17,8,0,0,0,0,0,28,178,6.36,1,62,40,352,8.8,1,1,0,2,0,0,65,105.0,111.0,85.0,0,67,0,2023,3782,525,395,1921
Kendrick Bourne,NE,WR,28,8,5,0,0,0,0,0,1,4,4.0,0,55,37,406,10.97,4,1,1,4,0,0,63,100.0,104.0,81.5,0,69,0,2023,5019,541,415,1627
Alec Pierce,IND,WR,23,17,16,0,0,0,0,0,0,0,0.0,0,65,32,514,16.06,2,0,0,2,0,0,63,95.4,98.4,79.4,0,68,0,2023,5927,540,466,2045
Nelson Agholor,BAL,WR,30,17,3,0,0,0,0,0,0,0,0.0,0,45,35,381,10.89,4,1,0,4,0,0,62,97.1,100.1,79.6,0,71,0,2023,6542,473,540,2661
Kalif Raymond,DET,WR,29,17,3,0,0,0,0,0,7,75,10.71,0,44,35,489,13.97,1,1,0,1,0,0,62,97.4,100.4,79.9,0,70,0,2023,6883,564,498,2308
Justin Watson,KC,WR,27,16,8,0,0,0,0,0,0,0,0.0,0,53,27,460,17.04,3,1,1,3,0,0,62,89.0,93.0,75.5,0,72,0,2023,6153,577,416,1781
Demarcus Robinson,LAR,WR,29,16,4,0,0,0,0,0,1,23,23.0,0,39,26,371,14.27,4,2,1,4,0,0,61,87.4,91.4,74.4,0,73,0,2023,6312,540,454,2012
Demario Douglas,NE,WR,23,14,7,0,0,0,0,0,8,41,5.13,0,79,49,561,11.45,0,3,1,0,0,0,58,107.2,111.2,82.7,0,74,0,2023,5019,541,415,1627
Trey Palmer,TB,WR,22,17,8,0,0,0,0,0,3,22,7.33,0,68,39,385,9.87,3,3,1,3,0,0,57,95.7,99.7,76.2,0,76,0,2023,5553,550,439,1509
Nick Westbrook-Ikhine,TEN,WR,26,14,9,0,0,0,0,0,0,0,0.0,0,45,28,370,13.21,3,0,0,3,1,0,57,85.0,88.0,71.0,0,75,0,2023,5367,477,441,1855
Quentin Johnston,LAC,WR,22,17,10,0,0,0,0,0,3,9,3.0,0,67,38,431,11.34,2,0,0,2,0,0,56,94.0,97.0,75.0,0,78,0,2023,5954,614,430,1642
Jameson Williams,DET,WR,22,12,10,0,0,0,0,0,3,29,9.67,1,42,24,354,14.75,2,1,0,3,0,0,56,80.3,83.3,68.3,0,77,0,2023,6883,564,498,2308
Michael Gallup,DAL,WR,27,17,13,0,0,0,0,0,0,0,0.0,0,57,34,418,12.29,2,0,0,2,0,0,54,87.8,90.8,70.8,0,80,0,2023,6580,605,468,1920
Brandon Johnson,DEN,WR,25,13,2,0,0,0,0,0,0,0,0.0,0,30,19,284,14.95,4,0,0,4,1,0,54,73.4,76.4,63.9,0,79,0,2023,5376,477,451,1810
Tre Tucker,LV,WR,22,16,1,0,0,0,0,0,10,77,7.7,0,34,19,331,17.42,2,0,0,2,0,0,53,71.8,74.8,62.3,0,81,0,2023,5208,531,413,1542
Michael Thomas,NO,WR,30,10,7,0,0,0,0,0,0,0,0.0,0,64,39,448,11.49,1,0,0,1,0,0,51,89.8,92.8,70.3,0,82,0,2023,5897,573,459,1672
Marvin Mims,DEN,WR,21,16,7,0,0,0,0,0,9,30,3.33,0,33,22,377,17.14,1,2,2,2,0,0,49,70.7,75.7,59.7,0,84,0,2023,5376,477,451,1810
A.T. Perry,NO,WR,24,10,3,0,0,0,0,0,0,0,0.0,0,18,12,246,20.5,4,0,0,4,0,0,49,60.6,63.6,54.6,0,85,0,2023,5897,573,459,1672
Robert Woods,HOU,WR,31,14,11,0,0,0,0,0,1,7,7.0,0,75,40,426,10.65,1,0,0,1,0,0,49,89.3,92.3,69.3,0,83,0,2023,6225,554,438,1647
Darnell Mooney,CHI,WR,26,15,14,0,0,0,0,0,2,5,2.5,0,61,31,414,13.35,1,0,0,1,0,0,48,78.9,81.9,63.4,0,86,0,2023,5715,451,504,2294
KaVontae Turpin,DAL,WR,27,16,0,0,0,0,0,0,11,110,10.0,1,18,12,127,10.58,3,1,0,4,0,0,48,59.7,65.7,53.7,0,87,0,2023,6580,605,468,1920
