Tm,Tgt_20,Rec_20,Ctch%_20,Yds_20,TD_20,%Tgt_20,Tgt_10,Rec_10,Ctch%_10,Yds_10,TD_10,%Tgt_10,Highlights,Player,Year
CIN,9,6,66.67%,42,2,10.30%,4,2,50.00%,3,1,11.40%,All Hayden Hurst red zone receiving plays,Hayden Hurst,2022
GNB,9,9,100.00%,34,3,12.20%,5,5,100.00%,22,3,15.60%,All Aaron Jones red zone receiving plays,Aaron Jones,2022
BUF,9,7,77.78%,52,5,11.70%,5,4,80.00%,15,3,14.30%,All Dawson Knox red zone receiving plays,Dawson Knox,2022
2TM,9,7,77.78%,54,3,0.00%,3,2,66.67%,12,2,0.00%,All Christian McCaffrey red zone receiving plays,Christian McCaffrey,2022
BUF,9,6,66.67%,50,4,11.70%,5,3,60.00%,19,3,14.30%,All Isaiah McKenzie red zone receiving plays,Isaiah McKenzie,2022
MIN,9,7,77.78%,49,4,9.20%,5,3,60.00%,16,3,9.60%,All K.J. Osborn red zone receiving plays,K.J. Osborn,2022
DET,9,5,55.56%,39,0,10.50%,3,1,33.33%,3,0,7.30%,All Kalif Raymond red zone receiving plays,Kalif Raymond,2022
WAS,9,5,55.56%,27,2,16.70%,8,4,50.00%,12,1,28.60%,All Curtis Samuel red zone receiving plays,Curtis Samuel,2022
CLE,8,3,37.50%,14,1,11.40%,4,2,50.00%,9,1,13.30%,All Harrison Bryant red zone receiving plays,Harrison Bryant,2022
NYJ,8,5,62.50%,14,0,12.70%,3,0,0.00%,0,0,10.70%,All Michael Carter red zone receiving plays,Michael Carter,2022
HOU,8,3,37.50%,22,2,12.10%,3,1,33.33%,6,1,12.00%,All Nico Collins red zone receiving plays,Nico Collins,2022
NYJ,8,2,25.00%,10,1,12.70%,3,2,66.67%,10,1,10.70%,All Corey Davis red zone receiving plays,Corey Davis,2022
GNB,8,6,75.00%,55,3,10.80%,1,1,100.00%,5,1,3.10%,All Romeo Doubs red zone receiving plays,Romeo Doubs,2022
BAL,8,5,62.50%,36,2,11.40%,4,2,50.00%,13,1,13.80%,All Devin Duvernay red zone receiving plays,Devin Duvernay,2022
JAX,8,3,37.50%,23,2,10.50%,3,1,33.33%,3,1,9.40%,All Evan Engram red zone receiving plays,Evan Engram,2022
SEA,8,6,75.00%,25,4,11.90%,7,6,85.71%,25,4,25.90%,All Noah Fant red zone receiving plays,Noah Fant,2022
PHI,8,6,75.00%,34,2,17.00%,3,2,66.67%,10,2,15.00%,All Dallas Goedert red zone receiving plays,Dallas Goedert,2022
SEA,8,5,62.50%,34,2,11.90%,4,2,50.00%,13,2,14.80%,All Tyler Lockett red zone receiving plays,Tyler Lockett,2022
LAC,8,4,50.00%,20,2,8.30%,4,2,50.00%,13,2,8.70%,All Josh Palmer red zone receiving plays,Josh Palmer,2022
DAL,8,4,50.00%,25,1,11.90%,5,2,40.00%,10,1,14.30%,All Tony Pollard red zone receiving plays,Tony Pollard,2022
ATL,8,7,87.50%,29,4,16.70%,5,5,100.00%,21,4,17.90%,All MyCole Pruitt red zone receiving plays,MyCole Pruitt,2022
MIA,8,6,75.00%,48,1,12.90%,2,1,50.00%,5,0,6.50%,All Trent Sherfield red zone receiving plays,Trent Sherfield,2022
MIA,8,4,50.00%,36,4,12.90%,5,3,60.00%,18,3,16.10%,All Jaylen Waddle red zone receiving plays,Jaylen Waddle,2022
TAM,8,6,75.00%,19,2,8.30%,2,2,100.00%,9,2,4.10%,All Rachaad White red zone receiving plays,Rachaad White,2022
GNB,7,3,42.86%,25,1,9.50%,2,0,0.00%,0,0,6.30%,All Randall Cobb red zone receiving plays,Randall Cobb,2022
WAS,7,6,85.71%,55,5,13.00%,5,4,80.00%,22,4,17.90%,All Jahan Dotson red zone receiving plays,Jahan Dotson,2022
PIT,7,4,57.14%,19,3,12.50%,5,3,60.00%,17,3,17.20%,All Najee Harris red zone receiving plays,Najee Harris,2022
NWE,7,1,14.29%,13,0,15.20%,3,0,0.00%,0,0,10.70%,All Hunter Henry red zone receiving plays,Hunter Henry,2022
TEN,7,5,71.43%,46,3,12.50%,2,1,50.00%,7,1,8.30%,All Dontrell Hilliard red zone receiving plays,Dontrell Hilliard,2022
2TM,7,6,85.71%,45,1,0.00%,1,1,1,10,1,0.00%,All Nyheim Hines red zone receiving plays,Nyheim Hines,2022
CLE,7,3,42.86%,8,1,0.1,3,2,66.67%,6,1,0.1,All Kareem Hunt red zone receiving plays,Kareem Hunt,2022
NYG,7,7,100.00%,55,4,17.90%,4,4,100.00%,18,3,20.00%,All Richie James red zone receiving plays,Richie James,2022
NWE,7,5,71.43%,23,3,15.20%,5,4,80.00%,14,3,17.90%,All Jakobi Meyers red zone receiving plays,Jakobi Meyers,2022
NYJ,7,3,42.86%,12,0,11.10%,1,0,0.00%,0,0,3.60%,All Elijah Moore red zone receiving plays,Elijah Moore,2022
MIA,7,6,85.71%,13,2,11.30%,4,3,0.75,19,2,12.90%,All Raheem Mostert red zone receiving plays,Raheem Mostert,2022
CIN,7,5,71.43%,33,3,8.00%,2,1,50.00%,6,1,5.70%,All Samaje Perine red zone receiving plays,Samaje Perine,2022
BUF,7,4,57.14%,15,1,9.10%,3,2,66.67%,3,1,8.60%,All Devin Singletary red zone receiving plays,Devin Singletary,2022
WAS,7,4,57.14%,15,0,13.00%,3,1,33.33%,0,0,10.70%,All Logan Thomas red zone receiving plays,Logan Thomas,2022
CAR,7,4,57.14%,26,2,18.40%,6,3,50.00%,9,1,35.30%,All Tommy Tremble red zone receiving plays,Tommy Tremble,2022
TEN,7,3,42.86%,24,2,12.50%,3,2,66.67%,11,2,12.50%,All Nick Westbrook-Ikhine red zone receiving plays,Nick Westbrook-Ikhine,2022
LVR,6,5,83.33%,48,1,8.70%,1,1,100.00%,2,0,3.00%,All Ameer Abdullah red zone receiving plays,Ameer Abdullah,2022
JAX,6,5,83.33%,26,3,7.90%,3,3,100.00%,13,3,9.40%,All Jamal Agnew red zone receiving plays,Jamal Agnew,2022
NYG,6,5,83.33%,47,2,15.40%,1,1,100.00%,8,1,5.00%,All Daniel Bellinger red zone receiving plays,Daniel Bellinger,2022
2TM,6,2,33.33%,10,1,0.00%,3,2,66.67%,10,1,0.00%,All Chase Claypool red zone receiving plays,Chase Claypool,2022
BUF,6,3,50.00%,24,1,7.80%,2,1,50.00%,4,1,5.70%,All James Cook red zone receiving plays,James Cook,2022
